CMDLINE python collect_times.py
MEM 175.230469 1525737510.0061
MEM 175.230469 1525737510.1067
MEM 175.230469 1525737510.2072
MEM 175.230469 1525737510.3078
MEM 175.230469 1525737510.4084
MEM 175.246094 1525737510.5090
MEM 175.253906 1525737510.6096
MEM 175.253906 1525737510.7102
MEM 175.261719 1525737510.8108
MEM 175.281250 1525737510.9115
MEM 175.296875 1525737511.0120
MEM 175.324219 1525737511.1126
MEM 175.332031 1525737511.2132
MEM 175.371094 1525737511.3137
MEM 175.371094 1525737511.4143
MEM 175.371094 1525737511.5149
MEM 175.371094 1525737511.6155
MEM 175.371094 1525737511.7161
MEM 175.371094 1525737511.8167
MEM 175.371094 1525737511.9172
MEM 175.371094 1525737512.0178
MEM 175.371094 1525737512.1184
MEM 175.375000 1525737512.2190
MEM 175.394531 1525737512.3196
MEM 175.406250 1525737512.4201
MEM 175.421875 1525737512.5207
MEM 175.437500 1525737512.6213
MEM 175.457031 1525737512.7218
MEM 175.484375 1525737512.8224
MEM 175.511719 1525737512.9231
MEM 175.531250 1525737513.0237
MEM 175.550781 1525737513.1243
MEM 175.597656 1525737513.2248
MEM 175.613281 1525737513.3254
MEM 175.625000 1525737513.4260
MEM 175.667969 1525737513.5266
MEM 175.691406 1525737513.6271
MEM 175.714844 1525737513.7277
MEM 175.753906 1525737513.8283
MEM 175.781250 1525737513.9288
MEM 175.832031 1525737514.0294
MEM 175.847656 1525737514.1300
MEM 175.882812 1525737514.2306
MEM 175.902344 1525737514.3312
MEM 175.914062 1525737514.4317
MEM 175.945312 1525737514.5323
MEM 176.042969 1525737514.6328
MEM 176.136719 1525737514.7334
MEM 176.234375 1525737514.8338
MEM 176.250000 1525737514.9344
MEM 176.261719 1525737515.0350
MEM 176.277344 1525737515.1356
MEM 176.324219 1525737515.2360
MEM 176.324219 1525737515.3365
MEM 176.500000 1525737515.4369
MEM 176.652344 1525737515.5374
MEM 0.000000 1525737515.6380
MEM 0.000000 1525737515.7385
MEM 0.000000 1525737515.8391
MEM 0.000000 1525737515.9396
