ID,Anderson_P,KS_P
1843.0,0.004537742478668524,0.0052754044317585855
1850.0,0.003799512158312184,0.02306449327920849
1852.0,0.0601032862650006,0.05248100476399566
18539.0,0.06387804525891796,0.006886409221323673
18651.0,0.06452758695748853,0.14836452078962484
1875.0,0.001,0.003268768881926573
1877.0,0.047621175169707736,0.2165013761441416
1879.0,0.001,1.0915917613597424e-05
1880.0,0.001,2.7945957201067122e-42
1886.0,0.001,2.6255784492506013e-11
1899.0,0.132887318864628,0.11916366357671745
1900.0,0.25,0.4659595288557257
1911.0,0.01781473068342539,0.029225323426275904
1913.0,0.0920470796226064,0.4208869347460346
1918.0,0.04455377365340845,0.029101847549830917
19197.0,0.03235780952990141,0.1082872208757189
1922.0,0.25,0.6854967337920594
1924.0,0.036872139839677624,0.37012017606173
1928.0,0.001,9.803857095159588e-13
1929.0,0.044753504270400264,0.10765627388443691
1942.0,0.001,3.4099936657997537e-13
1943.0,0.17721062075226243,0.647814872077161
1946.0,0.001,2.991173205019326e-25
1954.0,0.0021033176038493546,0.0028088946468703296
1957.0,0.001,5.728163385319411e-10
19591.0,0.25,0.8881734182535203
1971.0,0.001,5.560377594331548e-11
1979.0,0.001,0.0014104370152647296
19898.0,0.001,7.335921717149848e-05
1992.0,0.001,5.7690608353924265e-27
1996.0,0.04242245241696583,0.5356250150849751
1999.0,0.048441571326673594,0.10702648383433783
20041.0,0.07552248503558562,0.042627526114790086
2010.0,0.001,0.01074470517429049
2018.0,0.15077395628886753,0.24068202486600215
2030.0,0.25,0.7931584520059171
2032.0,0.06084819256035068,0.06917625399020766
2048.0,0.001,5.822752148022591e-09
2059.0,0.001,2.461977466455732e-07
20620.0,0.001,0.003289866198877247
2062.0,0.1094515809139106,0.017090148468768534
2063.0,0.25,0.21939649929677082
2066.0,0.001,0.0001969751018672361
2077.0,0.001,7.224279835989447e-12
2081.0,0.25,0.9516719132960332
2083.0,0.25,0.4006338815832625
2087.0,0.25,0.8282194040312439
2094.0,0.001,4.872295384883887e-05
2095.0,0.16081751956656043,0.09710349657052789
20972.0,0.25,0.6842929299438955
2103.0,0.026736193136085076,0.007195361443046065
2107.0,0.04447808712251198,0.34112475112661245
2110.0,0.03543384345996914,0.06153429181321559
2113.0,0.18208881828056267,0.21939649929677082
2116.0,0.011878584529558789,0.02157713113805711
2117.0,0.001,8.797089063129894e-08
21.0,0.010750247794876518,0.008307404356693155
2125.0,0.026598555875648664,0.028657817658998
2126.0,0.25,0.4006338815832625
2135.0,0.05435869656275827,0.07729207223101359
2145.0,0.001,8.389059123694321e-07
2147.0,0.001,1.3787445928064639e-06
2159.0,0.006712840365044235,0.0169276158702358
2161.0,0.001,3.209982841805882e-05
2170.0,0.008363639715622985,0.029225323426275904
2173.0,0.0017717293897262219,0.0012207544622917959
2176.0,0.07763392689063646,0.08499874768885007
2179.0,0.2420176227503295,0.4992646405099083
2185.0,0.022525942436002533,0.007702909350123548
21872.0,0.001,8.74452446093763e-06
2190.0,0.001813041178006153,0.000418604197209586
2197.0,0.09610191973297019,0.21939649929677082
2198.0,0.0010926545756828707,0.008307404356693155
2203.0,0.001,0.00010956387707040737
2206.0,0.14756649871375002,0.07735896611703114
2214.0,0.04988897892656731,0.1206492691469121
2215.0,0.001,6.05346475625821e-60
22.0,0.05801241987183394,0.12017695219194867
2220.0,0.0012771905793530563,0.0014488954599620356
2222.0,0.25,0.46531342803171893
2223.0,0.001,0.0028179208242694134
2232.0,0.001,3.979777583324821e-08
2233.0,0.012116823836174547,0.0020287627507189713
2234.0,0.004545684840810169,0.0028179208242694134
2241.0,0.02949292280370304,0.14836452078962484
2242.0,0.001,7.619174016630102e-06
2248.0,0.07779081855097714,0.06663436002822132
2256.0,0.25,0.647814872077161
2259.0,0.07729308600321963,0.07761108123267829
