,ID,Probability,Mean,Sigma,Mean_Error,Sigma_Error,Determinant
54,1426,0.09173625681518084,4.5601363641586055,0.6575630967973372,0.020647025635239073,0.014795349058545114,9.326141879264721e-08
55,1438,0.13586648091811668,5.166978667712742,0.45972263531007723,0.014598326338075066,0.010095395872204253,2.17198822311348e-08
56,1449,0.19824410130882175,4.6759420427035945,0.31693447406197206,0.009660438234123792,0.007372733828085101,5.0662563706837376e-09
57,1476,inf,4.343830068788081,0.01936742619486418,inf,inf,inf
58,1488,0.1961798235756517,4.614081749033107,0.31833855914098075,0.01028409429151132,0.007293850404744209,5.623686512212066e-09
59,15003,0.13984470748733707,6.750122093791985,0.4592870401107607,0.015075066091559983,0.010462900944239566,2.4872785294031432e-08
60,1504,0.15850540830160523,4.118158787213681,0.3863278313354513,0.012306179699280623,0.00851785174536063,1.0987839315250285e-08
61,1507,0.1912079780459085,5.8095686479382005,0.3228835302729823,0.010261139067150335,0.007198844426530748,5.456959588994703e-09
62,1508,inf,4.176166669131708,0.0029861639644740536,inf,inf,inf
63,1513,0.13280979960622957,6.624378964628386,0.47151236179210676,0.014713643740550198,0.010380110171005315,2.331754778654437e-08
64,1514,0.15596424315342616,5.661235664954239,0.39994309867658157,0.0125460622092244,0.008737916851102276,1.2019156657636188e-08
65,15220,0.16855200894736852,5.8118140894488,0.3675152655202633,0.011538167660454046,0.008241660430785216,9.038896698076239e-09
66,1590,0.1270766659516145,5.2625828026703685,0.4826462291369426,0.015049625398960835,0.01089453781248837,2.6863749932188555e-08
67,1598,0.18571959878486524,4.64422137611746,0.32200024137071137,0.01028686855693212,0.0071540813712819215,5.416150624382271e-09
68,1601,0.7446795151969011,4.454134572022136,0.08212632322874489,0.0025938206834115562,0.0018287161049119775,2.2497906636897913e-11
69,1613,0.1568842954727784,4.575097475226911,0.3780578916281284,0.011898151476068868,0.008603819426114996,1.0480491264140992e-08
70,1616,0.2788885038065989,4.93030493952326,0.2226070852037016,0.0071688878892278455,0.0048257491554824,1.196911815479802e-09
71,1617,0.2153472407368696,4.5625264954213405,0.2902900878426233,0.008971430565019768,0.006523476077192162,3.424024629388422e-09
72,1625,0.11044322305336252,4.619230571753459,0.5434666022173377,0.01740690919980721,0.012415356260957402,4.668253888111947e-08
73,1627,0.18402603600779968,4.1673512156021975,0.3329275138869046,0.010543318655789937,0.007487216768868645,6.231600795704211e-09
74,1635,0.18891094646192735,5.444946015550833,0.3205531240291064,0.01058876110153572,0.007234387562068683,5.865505488168439e-09
75,1636,0.14275884042745587,5.076624312616797,0.4306851511677805,0.013320517847696077,0.009622123802514568,1.6413031143637825e-08
76,1640,0.6143187186208824,4.77065160384665,0.10053067220862597,0.0032176699488207683,0.0021359048950393964,4.719879163790071e-11
77,1646,0.1747885967267697,6.244048820445847,0.35455965797815153,0.01133257537933173,0.007866729664199273,7.946481400292738e-09
78,1648,0.1289920021696639,4.55772911841355,0.48587123453128517,0.015429859610730474,0.010813577134073498,2.784181221260252e-08
79,1657,0.2799748297371101,4.208127571183448,0.22287968813407574,0.006827850888899575,0.005050612626163657,1.1892075032045931e-09
80,16588,0.13054224523293392,6.6283340947590785,0.4593662001804476,0.014680043465848445,0.010345107457374452,2.3065710368568493e-08
81,1667,0.1289332726307755,4.889997608177393,0.4605657908913661,0.01496741394580917,0.010632387598298541,2.5325147292270105e-08
82,1675,0.08648367421763185,4.944495342535799,0.7272200802320933,0.022853610533099686,0.015735317491028876,1.2930719633975035e-07
83,1689,0.16287088653784418,4.812001015167052,0.3845825470443008,0.012075975043053406,0.008536155217156614,1.061915423971872e-08
84,1691,0.11698642109956257,5.58847061370911,0.5256460913302138,0.016667842284643596,0.012154957477290758,4.1046407894841105e-08
85,1720,0.17352836345345093,5.774961577478233,0.3522825057538888,0.011041114545480776,0.007935650330947798,7.66610658950107e-09
86,1742,0.08240900656254621,4.722056170147144,0.7557028824375958,0.023121538568040452,0.016583360927298618,1.4699956614517728e-07
87,1753,0.1708939436510104,4.271488354752831,0.3540952984854371,0.011100714195526275,0.007955882367559265,7.798050542373789e-09
88,17641,0.1596378481771691,5.451227707691476,0.38990567499002393,0.01235959201524341,0.008995104714408756,1.2358721353224345e-08
